ip.src	udp.srcport	ip.dst	udp.dstport	dns.qry.name	dns.resp.name
10.0.0.102	53	10.0.0.103	56612	dnscat.6ba9012b76be6f955b414c002bcc527c4e	dnscat.6ba9012b76be6f955b414c002bcc527c4e
10.0.0.103	56612	10.0.0.102	53	dnscat.44f4012b761e985cb78894002c6b7ae078	
10.0.0.102	53	10.0.0.103	56612	dnscat.44f4012b761e985cb78894002c6b7ae078	dnscat.44f4012b761e985cb78894002c6b7ae078
10.0.0.103	56612	10.0.0.102	53	dnscat.7b57012b76c967387b0e92002d9e9a3610	
10.0.0.102	53	10.0.0.103	56612	dnscat.7b57012b76c967387b0e92002d9e9a3610	dnscat.7b57012b76c967387b0e92002d9e9a3610
10.0.0.103	56612	10.0.0.102	53	dnscat.04a7012b763615789d279c002e5f0dbb01	
10.0.0.102	53	10.0.0.103	56612	dnscat.04a7012b763615789d279c002e5f0dbb01	dnscat.04a7012b763615789d279c002e5f0dbb01
10.0.0.103	56612	10.0.0.102	53	dnscat.5955012b76a1d4c127af4d002ff114da08	
10.0.0.102	53	10.0.0.103	56612	dnscat.5955012b76a1d4c127af4d002ff114da08	dnscat.5955012b76a1d4c127af4d002ff114da08
10.0.0.103	56612	10.0.0.102	53	dnscat.77c7012b7690ec74a554ef0030d0fc260a	
10.0.0.102	53	10.0.0.103	56612	dnscat.77c7012b7690ec74a554ef0030d0fc260a	dnscat.77c7012b7690ec74a554ef0030d0fc260a
10.0.0.103	56612	10.0.0.102	53	dnscat.3b23012b76d04bb0f610ea00315256f915	
10.0.0.102	53	10.0.0.103	56612	dnscat.3b23012b76d04bb0f610ea00315256f915	dnscat.3b23012b76d04bb0f610ea00315256f915
10.0.0.103	56612	10.0.0.102	53	dnscat.5cd7012b761cd354bcd5fb0032896ae7ab	
10.0.0.102	53	10.0.0.103	56612	dnscat.5cd7012b761cd354bcd5fb0032896ae7ab	dnscat.5cd7012b761cd354bcd5fb0032896ae7ab
10.0.0.103	56612	10.0.0.102	53	dnscat.0d4d012b767b09934ae8b10033d22c9c48	
10.0.0.102	53	10.0.0.103	56612	dnscat.0d4d012b767b09934ae8b10033d22c9c48	dnscat.0d4d012b767b09934ae8b10033d22c9c48
10.0.0.103	56612	10.0.0.102	53	dnscat.261f012b76197bc7118d180034c6bc6860	
10.0.0.102	53	10.0.0.103	56612	dnscat.261f012b76197bc7118d180034c6bc6860	dnscat.261f012b76197bc7118d180034c6bc6860
10.0.0.103	56612	10.0.0.102	53	dnscat.51f0012b76cff54ec9b91900353f0a133b	
10.0.0.102	53	10.0.0.103	56612	dnscat.51f0012b76cff54ec9b91900353f0a133b	dnscat.51f0012b76cff54ec9b91900353f0a133b
10.0.0.103	56612	10.0.0.102	53	dnscat.0414012b76b24aa729b7870036ffdc64d7	
10.0.0.102	53	10.0.0.103	56612	dnscat.0414012b76b24aa729b7870036ffdc64d7	dnscat.0414012b76b24aa729b7870036ffdc64d7
10.0.0.103	56612	10.0.0.102	53	dnscat.44f4012b760cedc255c9a300371e734755	
10.0.0.102	53	10.0.0.103	56612	dnscat.44f4012b760cedc255c9a300371e734755	dnscat.44f4012b760cedc255c9a300371e734755
10.0.0.103	56612	10.0.0.102	53	dnscat.319f012b761693bd0d222a003821cecdb6	
10.0.0.102	53	10.0.0.103	56612	dnscat.319f012b761693bd0d222a003821cecdb6	dnscat.319f012b761693bd0d222a003821cecdb6
10.0.0.103	56612	10.0.0.102	53	dnscat.18b6012b7673323e54430400398e825f0f	
10.0.0.102	53	10.0.0.103	56612	dnscat.18b6012b7673323e54430400398e825f0f	dnscat.18b6012b7673323e54430400398e825f0f
10.0.0.103	56612	10.0.0.102	53	dnscat.68e6012b76b0a5a3bb9ded003aac3e82ea	
10.0.0.102	53	10.0.0.103	56612	dnscat.68e6012b76b0a5a3bb9ded003aac3e82ea	dnscat.68e6012b76b0a5a3bb9ded003aac3e82ea
10.0.0.103	56612	10.0.0.102	53	dnscat.1911012b76e27dcc06c695003b477269da	
10.0.0.102	53	10.0.0.103	56612	dnscat.1911012b76e27dcc06c695003b477269da	dnscat.1911012b76e27dcc06c695003b477269da
